Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 30
Percentage of mining power of adversary-2 (zeta2): 30
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,High CPU
4,Fast,Low CPU
5,Slow,Low CPU
6,Fast,Low CPU
7,Fast,Low CPU
8,Fast,Low CPU
9,Slow,Low CPU
10,Fast,Low CPU
11,Fast,Low CPU
12,Fast,High CPU
13,Slow,Low CPU
14,Slow,High CPU
15,Fast,Low CPU
16,Slow,Low CPU
17,Fast,High CPU
18,Slow,Low CPU
19,Slow,High CPU
20,Slow,Low CPU
21,Fast,High CPU
22,Slow,High CPU
23,Slow,Low CPU
24,Fast,Low CPU
25,Fast,High CPU
26,Slow,High CPU
27,Slow,Low CPU
28,Slow,Low CPU
29,Fast,High CPU
30,Slow,Low CPU
31,Slow,Low CPU
32,Fast,Low CPU
33,Slow,High CPU
34,Fast,Low CPU
35,Slow,High CPU
36,Slow,Low CPU
37,Slow,Low CPU
38,Fast,Low CPU
39,Fast,Low CPU
40,Fast,Low CPU
41,Slow,Low CPU
42,Slow,Low CPU
43,Slow,Low CPU
44,Fast,Low CPU
45,Slow,Low CPU
46,Fast,Low CPU
47,Slow,High CPU
48,Slow,Low CPU
49,Fast,Low CPU
50,Fast,Low CPU
51,Fast,High CPU
52,Slow,High CPU
53,Slow,High CPU
54,Slow,Low CPU
55,Fast,High CPU
56,Slow,Low CPU
57,Fast,Low CPU
58,Fast,Low CPU
59,Fast,High CPU
60,Slow,Low CPU
61,Slow,High CPU
62,Fast,Low CPU
63,Fast,High CPU
64,Fast,High CPU
65,Slow,High CPU
66,Fast,Low CPU
67,Slow,Low CPU
68,Fast,Low CPU
69,Fast,High CPU
70,Slow,Low CPU
71,Fast,Low CPU
72,Fast,Low CPU
73,Slow,Low CPU
74,Fast,Low CPU
75,Slow,Low CPU
76,Fast,Low CPU
77,Slow,Low CPU
78,Fast,High CPU
79,Fast,Low CPU
80,Slow,Low CPU
81,Slow,Low CPU
82,Slow,Low CPU
83,Slow,Low CPU
84,Slow,High CPU
85,Slow,Low CPU
86,Fast,Low CPU
87,Slow,Low CPU
88,Slow,Low CPU
89,Fast,High CPU
90,Fast,High CPU
91,Fast,High CPU
92,Slow,High CPU
93,Fast,Low CPU
94,Fast,Low CPU
95,Slow,High CPU
96,Fast,Low CPU
97,Fast,High CPU
98,Fast,Low CPU
99,Slow,Low CPU
100,Slow,High CPU
