Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 60
Percentage of mining power of adversary-2 (zeta2): 30
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,High CPU
4,Fast,Low CPU
5,Slow,High CPU
6,Fast,Low CPU
7,Fast,High CPU
8,Slow,High CPU
9,Fast,High CPU
10,Fast,Low CPU
11,Slow,High CPU
12,Slow,Low CPU
13,Fast,Low CPU
14,Fast,High CPU
15,Fast,Low CPU
16,Fast,Low CPU
17,Fast,High CPU
18,Fast,High CPU
19,Slow,Low CPU
20,Slow,Low CPU
21,Slow,Low CPU
22,Fast,Low CPU
23,Slow,High CPU
24,Slow,Low CPU
25,Slow,High CPU
26,Fast,Low CPU
27,Fast,Low CPU
28,Fast,Low CPU
29,Fast,Low CPU
30,Fast,Low CPU
31,Slow,High CPU
32,Fast,Low CPU
33,Slow,High CPU
34,Slow,Low CPU
35,Slow,Low CPU
36,Slow,Low CPU
37,Slow,Low CPU
38,Fast,Low CPU
39,Fast,High CPU
40,Fast,High CPU
41,Slow,Low CPU
42,Fast,Low CPU
43,Slow,High CPU
44,Slow,Low CPU
45,Fast,High CPU
46,Fast,Low CPU
47,Fast,Low CPU
48,Fast,High CPU
49,Fast,High CPU
50,Slow,Low CPU
51,Fast,High CPU
52,Slow,Low CPU
53,Slow,Low CPU
54,Fast,High CPU
55,Slow,Low CPU
56,Slow,High CPU
57,Slow,Low CPU
58,Fast,High CPU
59,Slow,Low CPU
60,Slow,High CPU
61,Slow,High CPU
62,Slow,Low CPU
63,Slow,Low CPU
64,Slow,Low CPU
65,Slow,Low CPU
66,Slow,Low CPU
67,Fast,High CPU
68,Slow,Low CPU
69,Slow,Low CPU
70,Fast,Low CPU
71,Slow,High CPU
72,Slow,High CPU
73,Slow,High CPU
74,Fast,High CPU
75,Fast,Low CPU
76,Fast,Low CPU
77,Slow,Low CPU
78,Slow,High CPU
79,Slow,Low CPU
80,Fast,Low CPU
81,Fast,Low CPU
82,Fast,Low CPU
83,Slow,High CPU
84,Fast,High CPU
85,Slow,High CPU
86,Fast,Low CPU
87,Slow,Low CPU
88,Slow,Low CPU
89,Fast,High CPU
90,Slow,Low CPU
91,Slow,High CPU
92,Fast,High CPU
93,Slow,Low CPU
94,Fast,High CPU
95,Fast,High CPU
96,Slow,High CPU
97,Fast,Low CPU
98,Slow,High CPU
99,Fast,High CPU
100,Slow,Low CPU
