Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 70
Percentage of mining power of adversary-2 (zeta2): 0
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Fast,Low CPU
5,Slow,Low CPU
6,Fast,Low CPU
7,Slow,Low CPU
8,Fast,High CPU
9,Slow,Low CPU
10,Slow,Low CPU
11,Slow,Low CPU
12,Fast,Low CPU
13,Slow,High CPU
14,Slow,Low CPU
15,Fast,Low CPU
16,Slow,High CPU
17,Fast,Low CPU
18,Slow,High CPU
19,Slow,High CPU
20,Slow,Low CPU
21,Slow,High CPU
22,Slow,Low CPU
23,Slow,High CPU
24,Fast,High CPU
25,Fast,Low CPU
26,Slow,Low CPU
27,Slow,High CPU
28,Slow,Low CPU
29,Fast,High CPU
30,Slow,Low CPU
31,Fast,Low CPU
32,Slow,Low CPU
33,Fast,High CPU
34,Fast,High CPU
35,Fast,Low CPU
36,Fast,High CPU
37,Slow,High CPU
38,Fast,High CPU
39,Fast,High CPU
40,Fast,Low CPU
41,Fast,High CPU
42,Slow,High CPU
43,Fast,High CPU
44,Slow,Low CPU
45,Slow,High CPU
46,Fast,Low CPU
47,Fast,Low CPU
48,Fast,High CPU
49,Fast,Low CPU
50,Slow,High CPU
51,Fast,High CPU
52,Fast,High CPU
53,Fast,Low CPU
54,Fast,Low CPU
55,Fast,High CPU
56,Fast,High CPU
57,Slow,High CPU
58,Fast,Low CPU
59,Slow,Low CPU
60,Fast,Low CPU
61,Fast,Low CPU
62,Slow,High CPU
63,Fast,Low CPU
64,Fast,Low CPU
65,Slow,High CPU
66,Slow,Low CPU
67,Fast,High CPU
68,Slow,Low CPU
69,Slow,High CPU
70,Slow,High CPU
71,Slow,Low CPU
72,Slow,Low CPU
73,Fast,Low CPU
74,Slow,Low CPU
75,Fast,High CPU
76,Fast,High CPU
77,Fast,High CPU
78,Slow,Low CPU
79,Slow,High CPU
80,Fast,High CPU
81,Fast,Low CPU
82,Slow,Low CPU
83,Fast,Low CPU
84,Fast,Low CPU
85,Fast,Low CPU
86,Slow,High CPU
87,Fast,Low CPU
88,Fast,High CPU
89,Fast,High CPU
90,Fast,Low CPU
91,Fast,Low CPU
92,Fast,Low CPU
93,Fast,High CPU
94,Fast,Low CPU
95,Slow,High CPU
96,Fast,Low CPU
97,Fast,High CPU
98,Slow,Low CPU
99,Fast,Low CPU
100,Slow,Low CPU
