Simulation time (in s): 500
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 40
Percentage of mining power of adversary-2 (zeta2): 30
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Fast,Low CPU
5,Fast,High CPU
6,Fast,Low CPU
7,Slow,Low CPU
8,Slow,High CPU
9,Fast,High CPU
10,Fast,Low CPU
11,Fast,Low CPU
12,Fast,Low CPU
13,Fast,High CPU
14,Fast,High CPU
15,Fast,Low CPU
16,Fast,High CPU
17,Fast,High CPU
18,Fast,Low CPU
19,Slow,Low CPU
20,Fast,High CPU
21,Fast,High CPU
22,Fast,High CPU
23,Fast,High CPU
24,Fast,High CPU
25,Fast,High CPU
26,Fast,High CPU
27,Slow,Low CPU
28,Slow,Low CPU
29,Slow,Low CPU
30,Slow,Low CPU
31,Slow,Low CPU
32,Fast,High CPU
33,Fast,High CPU
34,Slow,Low CPU
35,Fast,High CPU
36,Slow,Low CPU
37,Slow,High CPU
38,Slow,High CPU
39,Fast,Low CPU
40,Fast,Low CPU
41,Fast,High CPU
42,Fast,Low CPU
43,Slow,High CPU
44,Slow,High CPU
45,Fast,Low CPU
46,Fast,Low CPU
47,Fast,High CPU
48,Slow,High CPU
49,Slow,Low CPU
50,Fast,High CPU
51,Slow,High CPU
52,Fast,Low CPU
53,Fast,Low CPU
54,Fast,High CPU
55,Slow,High CPU
56,Slow,High CPU
57,Slow,Low CPU
58,Fast,Low CPU
59,Slow,High CPU
60,Slow,High CPU
61,Fast,High CPU
62,Slow,High CPU
63,Fast,Low CPU
64,Fast,Low CPU
65,Slow,Low CPU
66,Slow,Low CPU
67,Fast,Low CPU
68,Fast,High CPU
69,Fast,Low CPU
70,Fast,Low CPU
71,Slow,Low CPU
72,Slow,Low CPU
73,Fast,Low CPU
74,Fast,High CPU
75,Fast,Low CPU
76,Slow,High CPU
77,Fast,High CPU
78,Slow,Low CPU
79,Slow,Low CPU
80,Fast,Low CPU
81,Fast,Low CPU
82,Fast,Low CPU
83,Fast,Low CPU
84,Slow,High CPU
85,Fast,Low CPU
86,Slow,Low CPU
87,Slow,High CPU
88,Fast,Low CPU
89,Slow,Low CPU
90,Fast,Low CPU
91,Slow,Low CPU
92,Slow,High CPU
93,Fast,Low CPU
94,Slow,Low CPU
95,Fast,Low CPU
96,Fast,High CPU
97,Fast,Low CPU
98,Fast,Low CPU
99,Slow,High CPU
100,Slow,High CPU
