Simulation time (in s): 500
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 30
Percentage of mining power of adversary-2 (zeta2): 50
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,High CPU
4,Slow,High CPU
5,Fast,High CPU
6,Fast,Low CPU
7,Fast,Low CPU
8,Fast,High CPU
9,Fast,Low CPU
10,Fast,Low CPU
11,Slow,High CPU
12,Fast,High CPU
13,Fast,Low CPU
14,Slow,High CPU
15,Fast,Low CPU
16,Slow,Low CPU
17,Slow,High CPU
18,Slow,Low CPU
19,Fast,High CPU
20,Fast,High CPU
21,Fast,High CPU
22,Slow,High CPU
23,Slow,Low CPU
24,Slow,Low CPU
25,Fast,Low CPU
26,Slow,Low CPU
27,Fast,High CPU
28,Slow,High CPU
29,Fast,Low CPU
30,Fast,High CPU
31,Slow,High CPU
32,Slow,Low CPU
33,Slow,Low CPU
34,Fast,Low CPU
35,Slow,Low CPU
36,Slow,Low CPU
37,Slow,High CPU
38,Slow,Low CPU
39,Fast,High CPU
40,Fast,High CPU
41,Slow,Low CPU
42,Slow,Low CPU
43,Slow,High CPU
44,Fast,High CPU
45,Fast,High CPU
46,Slow,High CPU
47,Fast,Low CPU
48,Fast,Low CPU
49,Slow,Low CPU
50,Fast,Low CPU
51,Fast,High CPU
52,Fast,High CPU
53,Fast,High CPU
54,Fast,Low CPU
55,Slow,High CPU
56,Slow,High CPU
57,Fast,High CPU
58,Fast,Low CPU
59,Slow,Low CPU
60,Fast,Low CPU
61,Fast,High CPU
62,Slow,Low CPU
63,Fast,Low CPU
64,Slow,High CPU
65,Slow,Low CPU
66,Slow,Low CPU
67,Fast,Low CPU
68,Fast,Low CPU
69,Slow,Low CPU
70,Slow,High CPU
71,Slow,Low CPU
72,Slow,Low CPU
73,Slow,High CPU
74,Slow,Low CPU
75,Slow,High CPU
76,Slow,High CPU
77,Fast,Low CPU
78,Fast,Low CPU
79,Fast,High CPU
80,Slow,High CPU
81,Slow,High CPU
82,Slow,Low CPU
83,Slow,High CPU
84,Slow,Low CPU
85,Fast,Low CPU
86,Fast,Low CPU
87,Fast,Low CPU
88,Fast,Low CPU
89,Slow,High CPU
90,Fast,Low CPU
91,Fast,Low CPU
92,Slow,Low CPU
93,Fast,High CPU
94,Slow,Low CPU
95,Fast,High CPU
96,Slow,High CPU
97,Fast,Low CPU
98,Slow,High CPU
99,Fast,High CPU
100,Fast,High CPU
