Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 50
Percentage of mining power of adversary-2 (zeta2): 30
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Slow,Low CPU
5,Fast,High CPU
6,Slow,High CPU
7,Slow,Low CPU
8,Slow,Low CPU
9,Slow,Low CPU
10,Fast,Low CPU
11,Fast,High CPU
12,Slow,High CPU
13,Slow,High CPU
14,Fast,High CPU
15,Slow,Low CPU
16,Slow,Low CPU
17,Fast,Low CPU
18,Slow,High CPU
19,Fast,High CPU
20,Fast,Low CPU
21,Slow,Low CPU
22,Fast,Low CPU
23,Fast,High CPU
24,Fast,Low CPU
25,Fast,Low CPU
26,Fast,High CPU
27,Slow,Low CPU
28,Fast,Low CPU
29,Fast,High CPU
30,Fast,Low CPU
31,Fast,High CPU
32,Slow,Low CPU
33,Fast,High CPU
34,Fast,Low CPU
35,Fast,Low CPU
36,Fast,Low CPU
37,Slow,Low CPU
38,Slow,High CPU
39,Slow,Low CPU
40,Fast,High CPU
41,Slow,High CPU
42,Slow,High CPU
43,Slow,Low CPU
44,Slow,High CPU
45,Fast,High CPU
46,Fast,High CPU
47,Slow,High CPU
48,Fast,High CPU
49,Slow,Low CPU
50,Slow,High CPU
51,Slow,Low CPU
52,Fast,High CPU
53,Slow,High CPU
54,Slow,Low CPU
55,Fast,Low CPU
56,Fast,High CPU
57,Slow,Low CPU
58,Fast,High CPU
59,Fast,Low CPU
60,Fast,High CPU
61,Slow,High CPU
62,Slow,Low CPU
63,Fast,Low CPU
64,Slow,High CPU
65,Fast,Low CPU
66,Slow,High CPU
67,Slow,High CPU
68,Slow,Low CPU
69,Fast,Low CPU
70,Fast,High CPU
71,Fast,High CPU
72,Fast,High CPU
73,Slow,Low CPU
74,Fast,Low CPU
75,Slow,High CPU
76,Fast,High CPU
77,Slow,High CPU
78,Fast,High CPU
79,Fast,High CPU
80,Fast,Low CPU
81,Fast,Low CPU
82,Fast,High CPU
83,Fast,High CPU
84,Slow,Low CPU
85,Fast,Low CPU
86,Slow,High CPU
87,Fast,Low CPU
88,Fast,Low CPU
89,Slow,Low CPU
90,Fast,High CPU
91,Slow,Low CPU
92,Slow,High CPU
93,Fast,Low CPU
94,Fast,Low CPU
95,Slow,Low CPU
96,Slow,Low CPU
97,Fast,Low CPU
98,Fast,Low CPU
99,Slow,High CPU
100,Fast,Low CPU
