Simulation time (in s): 500
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 20
Percentage of mining power of adversary-2 (zeta2): 50
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,High CPU
4,Fast,Low CPU
5,Fast,High CPU
6,Fast,Low CPU
7,Fast,Low CPU
8,Slow,Low CPU
9,Slow,High CPU
10,Slow,Low CPU
11,Slow,High CPU
12,Fast,High CPU
13,Slow,Low CPU
14,Slow,Low CPU
15,Slow,High CPU
16,Slow,Low CPU
17,Slow,High CPU
18,Slow,Low CPU
19,Fast,Low CPU
20,Slow,High CPU
21,Slow,Low CPU
22,Fast,Low CPU
23,Fast,Low CPU
24,Fast,Low CPU
25,Slow,Low CPU
26,Slow,Low CPU
27,Slow,Low CPU
28,Fast,High CPU
29,Slow,High CPU
30,Slow,Low CPU
31,Slow,Low CPU
32,Fast,Low CPU
33,Fast,High CPU
34,Fast,High CPU
35,Slow,High CPU
36,Slow,High CPU
37,Slow,Low CPU
38,Fast,Low CPU
39,Fast,High CPU
40,Slow,Low CPU
41,Slow,High CPU
42,Slow,High CPU
43,Slow,High CPU
44,Fast,High CPU
45,Fast,Low CPU
46,Slow,Low CPU
47,Fast,High CPU
48,Slow,High CPU
49,Fast,High CPU
50,Slow,High CPU
51,Slow,High CPU
52,Slow,Low CPU
53,Slow,Low CPU
54,Fast,Low CPU
55,Slow,High CPU
56,Slow,Low CPU
57,Fast,High CPU
58,Fast,High CPU
59,Slow,Low CPU
60,Fast,Low CPU
61,Fast,High CPU
62,Fast,High CPU
63,Slow,Low CPU
64,Slow,Low CPU
65,Slow,Low CPU
66,Fast,Low CPU
67,Slow,High CPU
68,Slow,Low CPU
69,Slow,High CPU
70,Slow,Low CPU
71,Slow,High CPU
72,Fast,High CPU
73,Fast,Low CPU
74,Slow,High CPU
75,Fast,High CPU
76,Fast,Low CPU
77,Slow,High CPU
78,Fast,Low CPU
79,Slow,High CPU
80,Slow,Low CPU
81,Fast,High CPU
82,Slow,High CPU
83,Fast,Low CPU
84,Fast,High CPU
85,Slow,High CPU
86,Fast,Low CPU
87,Fast,High CPU
88,Slow,Low CPU
89,Fast,High CPU
90,Fast,High CPU
91,Slow,High CPU
92,Fast,High CPU
93,Fast,Low CPU
94,Fast,High CPU
95,Slow,Low CPU
96,Fast,Low CPU
97,Slow,Low CPU
98,Slow,Low CPU
99,Slow,Low CPU
100,Slow,Low CPU
