Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 10
Percentage of mining power of adversary-2 (zeta2): 30
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Fast,Low CPU
5,Slow,High CPU
6,Slow,High CPU
7,Slow,Low CPU
8,Slow,High CPU
9,Fast,Low CPU
10,Slow,High CPU
11,Fast,Low CPU
12,Fast,High CPU
13,Fast,High CPU
14,Fast,High CPU
15,Slow,Low CPU
16,Fast,Low CPU
17,Slow,High CPU
18,Fast,High CPU
19,Fast,Low CPU
20,Slow,Low CPU
21,Fast,Low CPU
22,Slow,High CPU
23,Slow,High CPU
24,Slow,High CPU
25,Slow,High CPU
26,Fast,High CPU
27,Slow,Low CPU
28,Fast,High CPU
29,Slow,High CPU
30,Fast,High CPU
31,Slow,Low CPU
32,Fast,High CPU
33,Slow,High CPU
34,Slow,High CPU
35,Slow,High CPU
36,Slow,Low CPU
37,Fast,High CPU
38,Fast,High CPU
39,Slow,Low CPU
40,Slow,High CPU
41,Fast,Low CPU
42,Fast,Low CPU
43,Fast,High CPU
44,Slow,Low CPU
45,Fast,High CPU
46,Slow,High CPU
47,Fast,Low CPU
48,Slow,High CPU
49,Slow,High CPU
50,Slow,Low CPU
51,Slow,Low CPU
52,Slow,High CPU
53,Slow,Low CPU
54,Slow,High CPU
55,Fast,Low CPU
56,Slow,High CPU
57,Fast,Low CPU
58,Slow,High CPU
59,Slow,Low CPU
60,Slow,Low CPU
61,Slow,High CPU
62,Slow,High CPU
63,Fast,High CPU
64,Slow,High CPU
65,Slow,Low CPU
66,Fast,High CPU
67,Fast,High CPU
68,Fast,High CPU
69,Fast,Low CPU
70,Slow,High CPU
71,Slow,High CPU
72,Slow,High CPU
73,Slow,Low CPU
74,Fast,Low CPU
75,Fast,High CPU
76,Slow,Low CPU
77,Slow,Low CPU
78,Slow,High CPU
79,Fast,Low CPU
80,Slow,High CPU
81,Fast,Low CPU
82,Fast,High CPU
83,Slow,High CPU
84,Slow,High CPU
85,Slow,Low CPU
86,Fast,High CPU
87,Fast,Low CPU
88,Fast,High CPU
89,Slow,Low CPU
90,Fast,High CPU
91,Slow,Low CPU
92,Fast,High CPU
93,Slow,Low CPU
94,Fast,High CPU
95,Slow,Low CPU
96,Fast,High CPU
97,Slow,Low CPU
98,Fast,Low CPU
99,Fast,High CPU
100,Fast,Low CPU
