Simulation time (in s): 500
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 20
Percentage of mining power of adversary-2 (zeta2): 0
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,High CPU
4,Fast,High CPU
5,Slow,High CPU
6,Slow,Low CPU
7,Slow,Low CPU
8,Slow,High CPU
9,Slow,High CPU
10,Slow,High CPU
11,Slow,Low CPU
12,Fast,Low CPU
13,Slow,Low CPU
14,Fast,Low CPU
15,Slow,High CPU
16,Fast,Low CPU
17,Fast,Low CPU
18,Slow,High CPU
19,Slow,Low CPU
20,Fast,Low CPU
21,Slow,Low CPU
22,Fast,High CPU
23,Slow,High CPU
24,Fast,High CPU
25,Fast,Low CPU
26,Fast,Low CPU
27,Fast,High CPU
28,Slow,High CPU
29,Slow,Low CPU
30,Fast,Low CPU
31,Slow,Low CPU
32,Fast,Low CPU
33,Fast,Low CPU
34,Slow,High CPU
35,Slow,Low CPU
36,Fast,High CPU
37,Slow,Low CPU
38,Slow,Low CPU
39,Fast,Low CPU
40,Slow,Low CPU
41,Slow,Low CPU
42,Slow,High CPU
43,Fast,High CPU
44,Slow,Low CPU
45,Slow,Low CPU
46,Fast,High CPU
47,Slow,High CPU
48,Slow,High CPU
49,Fast,Low CPU
50,Slow,High CPU
51,Slow,Low CPU
52,Slow,Low CPU
53,Slow,Low CPU
54,Fast,High CPU
55,Fast,Low CPU
56,Fast,Low CPU
57,Fast,High CPU
58,Fast,High CPU
59,Slow,High CPU
60,Fast,Low CPU
61,Slow,High CPU
62,Slow,High CPU
63,Fast,High CPU
64,Slow,Low CPU
65,Fast,Low CPU
66,Slow,Low CPU
67,Slow,Low CPU
68,Fast,Low CPU
69,Slow,Low CPU
70,Fast,Low CPU
71,Slow,Low CPU
72,Slow,Low CPU
73,Slow,High CPU
74,Slow,Low CPU
75,Slow,Low CPU
76,Fast,High CPU
77,Fast,Low CPU
78,Slow,Low CPU
79,Slow,High CPU
80,Slow,High CPU
81,Slow,Low CPU
82,Fast,Low CPU
83,Slow,High CPU
84,Fast,Low CPU
85,Slow,High CPU
86,Slow,Low CPU
87,Slow,Low CPU
88,Fast,Low CPU
89,Slow,Low CPU
90,Slow,Low CPU
91,Fast,High CPU
92,Fast,Low CPU
93,Fast,Low CPU
94,Fast,Low CPU
95,Fast,High CPU
96,Slow,Low CPU
97,Slow,Low CPU
98,Slow,Low CPU
99,Slow,Low CPU
100,Fast,High CPU
