Simulation time (in s): 500
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 10
Percentage of mining power of adversary-2 (zeta2): 50
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Slow,Low CPU
5,Fast,Low CPU
6,Fast,High CPU
7,Fast,High CPU
8,Slow,High CPU
9,Fast,Low CPU
10,Slow,Low CPU
11,Slow,High CPU
12,Slow,Low CPU
13,Fast,Low CPU
14,Fast,Low CPU
15,Fast,Low CPU
16,Fast,Low CPU
17,Slow,High CPU
18,Slow,High CPU
19,Slow,Low CPU
20,Slow,Low CPU
21,Slow,Low CPU
22,Slow,High CPU
23,Fast,High CPU
24,Fast,High CPU
25,Fast,High CPU
26,Fast,Low CPU
27,Fast,High CPU
28,Fast,High CPU
29,Slow,High CPU
30,Fast,Low CPU
31,Slow,Low CPU
32,Fast,Low CPU
33,Fast,Low CPU
34,Slow,High CPU
35,Slow,High CPU
36,Fast,High CPU
37,Fast,High CPU
38,Slow,High CPU
39,Fast,High CPU
40,Fast,Low CPU
41,Slow,Low CPU
42,Slow,High CPU
43,Fast,High CPU
44,Fast,Low CPU
45,Slow,Low CPU
46,Fast,High CPU
47,Slow,Low CPU
48,Fast,Low CPU
49,Fast,High CPU
50,Slow,Low CPU
51,Slow,Low CPU
52,Slow,Low CPU
53,Slow,Low CPU
54,Slow,Low CPU
55,Fast,High CPU
56,Fast,High CPU
57,Fast,High CPU
58,Slow,High CPU
59,Fast,Low CPU
60,Slow,High CPU
61,Fast,Low CPU
62,Fast,Low CPU
63,Slow,High CPU
64,Fast,Low CPU
65,Slow,High CPU
66,Fast,Low CPU
67,Fast,Low CPU
68,Fast,High CPU
69,Slow,High CPU
70,Slow,High CPU
71,Fast,Low CPU
72,Slow,High CPU
73,Fast,Low CPU
74,Fast,Low CPU
75,Slow,Low CPU
76,Fast,High CPU
77,Slow,High CPU
78,Slow,High CPU
79,Slow,Low CPU
80,Fast,Low CPU
81,Slow,Low CPU
82,Fast,High CPU
83,Fast,Low CPU
84,Slow,High CPU
85,Slow,Low CPU
86,Fast,Low CPU
87,Fast,Low CPU
88,Slow,Low CPU
89,Slow,Low CPU
90,Fast,Low CPU
91,Fast,High CPU
92,Slow,High CPU
93,Slow,High CPU
94,Slow,High CPU
95,Slow,Low CPU
96,Fast,High CPU
97,Fast,Low CPU
98,Slow,High CPU
99,Fast,Low CPU
100,Fast,High CPU
