Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 10
Percentage of mining power of adversary-2 (zeta2): 0
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,High CPU
4,Slow,Low CPU
5,Slow,High CPU
6,Fast,High CPU
7,Slow,Low CPU
8,Fast,High CPU
9,Fast,Low CPU
10,Fast,Low CPU
11,Slow,High CPU
12,Slow,High CPU
13,Slow,Low CPU
14,Slow,High CPU
15,Slow,Low CPU
16,Slow,High CPU
17,Slow,Low CPU
18,Fast,Low CPU
19,Fast,Low CPU
20,Fast,High CPU
21,Fast,High CPU
22,Slow,Low CPU
23,Fast,High CPU
24,Slow,Low CPU
25,Fast,Low CPU
26,Fast,High CPU
27,Fast,Low CPU
28,Fast,High CPU
29,Fast,High CPU
30,Slow,High CPU
31,Fast,Low CPU
32,Slow,Low CPU
33,Fast,Low CPU
34,Slow,High CPU
35,Slow,High CPU
36,Slow,High CPU
37,Fast,Low CPU
38,Fast,High CPU
39,Fast,High CPU
40,Fast,High CPU
41,Slow,High CPU
42,Slow,Low CPU
43,Fast,High CPU
44,Fast,Low CPU
45,Slow,Low CPU
46,Slow,High CPU
47,Slow,Low CPU
48,Fast,Low CPU
49,Slow,High CPU
50,Fast,High CPU
51,Fast,Low CPU
52,Fast,High CPU
53,Fast,Low CPU
54,Slow,Low CPU
55,Slow,Low CPU
56,Fast,Low CPU
57,Fast,Low CPU
58,Slow,High CPU
59,Slow,High CPU
60,Fast,Low CPU
61,Slow,High CPU
62,Fast,Low CPU
63,Slow,High CPU
64,Fast,Low CPU
65,Fast,Low CPU
66,Slow,Low CPU
67,Fast,High CPU
68,Slow,High CPU
69,Slow,Low CPU
70,Slow,Low CPU
71,Fast,Low CPU
72,Slow,High CPU
73,Slow,High CPU
74,Slow,High CPU
75,Slow,High CPU
76,Slow,Low CPU
77,Slow,High CPU
78,Fast,High CPU
79,Fast,High CPU
80,Slow,Low CPU
81,Slow,High CPU
82,Slow,High CPU
83,Fast,Low CPU
84,Fast,High CPU
85,Slow,High CPU
86,Fast,High CPU
87,Fast,High CPU
88,Slow,High CPU
89,Slow,Low CPU
90,Slow,Low CPU
91,Slow,High CPU
92,Slow,Low CPU
93,Fast,High CPU
94,Fast,Low CPU
95,Slow,Low CPU
96,Fast,High CPU
97,Fast,High CPU
98,Fast,High CPU
99,Slow,High CPU
100,Slow,Low CPU
