Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 20
Percentage of mining power of adversary-2 (zeta2): 0
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Slow,High CPU
5,Fast,High CPU
6,Slow,High CPU
7,Fast,High CPU
8,Fast,Low CPU
9,Slow,High CPU
10,Slow,High CPU
11,Fast,High CPU
12,Slow,High CPU
13,Fast,High CPU
14,Fast,Low CPU
15,Fast,Low CPU
16,Fast,Low CPU
17,Fast,High CPU
18,Slow,Low CPU
19,Slow,Low CPU
20,Fast,High CPU
21,Slow,Low CPU
22,Fast,High CPU
23,Fast,Low CPU
24,Slow,Low CPU
25,Slow,Low CPU
26,Slow,Low CPU
27,Slow,High CPU
28,Fast,Low CPU
29,Fast,High CPU
30,Fast,Low CPU
31,Fast,High CPU
32,Fast,Low CPU
33,Fast,High CPU
34,Fast,Low CPU
35,Fast,Low CPU
36,Fast,High CPU
37,Fast,Low CPU
38,Slow,Low CPU
39,Slow,Low CPU
40,Fast,High CPU
41,Fast,Low CPU
42,Fast,High CPU
43,Slow,Low CPU
44,Fast,High CPU
45,Fast,High CPU
46,Fast,High CPU
47,Slow,High CPU
48,Fast,High CPU
49,Fast,Low CPU
50,Slow,High CPU
51,Fast,High CPU
52,Fast,High CPU
53,Slow,Low CPU
54,Slow,High CPU
55,Fast,High CPU
56,Slow,High CPU
57,Slow,High CPU
58,Slow,High CPU
59,Fast,High CPU
60,Fast,High CPU
61,Slow,Low CPU
62,Fast,Low CPU
63,Fast,Low CPU
64,Slow,Low CPU
65,Fast,High CPU
66,Slow,Low CPU
67,Fast,Low CPU
68,Fast,Low CPU
69,Fast,High CPU
70,Fast,High CPU
71,Slow,Low CPU
72,Slow,Low CPU
73,Slow,High CPU
74,Slow,High CPU
75,Fast,High CPU
76,Fast,Low CPU
77,Slow,High CPU
78,Fast,Low CPU
79,Fast,Low CPU
80,Fast,Low CPU
81,Fast,Low CPU
82,Slow,High CPU
83,Slow,High CPU
84,Fast,High CPU
85,Slow,Low CPU
86,Slow,Low CPU
87,Slow,Low CPU
88,Slow,High CPU
89,Fast,Low CPU
90,Fast,Low CPU
91,Fast,High CPU
92,Slow,Low CPU
93,Fast,Low CPU
94,Fast,Low CPU
95,Fast,High CPU
96,Fast,High CPU
97,Fast,Low CPU
98,Slow,Low CPU
99,Fast,High CPU
100,Slow,High CPU
