Simulation time (in s): 500
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 40
Percentage of mining power of adversary-2 (zeta2): 0
Mean interarrival time between transactions (in ms) (T_tx): 100000
Mean interarrival time between blocks (in ms) (I): 5000.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Fast,High CPU
4,Fast,High CPU
5,Fast,High CPU
6,Fast,High CPU
7,Fast,High CPU
8,Slow,High CPU
9,Fast,High CPU
10,Fast,High CPU
11,Slow,Low CPU
12,Slow,Low CPU
13,Slow,Low CPU
14,Fast,High CPU
15,Fast,High CPU
16,Fast,High CPU
17,Fast,High CPU
18,Slow,Low CPU
19,Slow,Low CPU
20,Slow,High CPU
21,Fast,High CPU
22,Slow,Low CPU
23,Slow,High CPU
24,Fast,High CPU
25,Fast,Low CPU
26,Slow,Low CPU
27,Slow,High CPU
28,Slow,High CPU
29,Fast,Low CPU
30,Fast,High CPU
31,Fast,High CPU
32,Slow,Low CPU
33,Slow,Low CPU
34,Fast,High CPU
35,Slow,High CPU
36,Slow,Low CPU
37,Slow,High CPU
38,Fast,High CPU
39,Slow,Low CPU
40,Fast,Low CPU
41,Fast,Low CPU
42,Fast,Low CPU
43,Fast,Low CPU
44,Slow,High CPU
45,Fast,Low CPU
46,Slow,High CPU
47,Slow,High CPU
48,Fast,Low CPU
49,Slow,High CPU
50,Slow,Low CPU
51,Fast,Low CPU
52,Slow,Low CPU
53,Slow,Low CPU
54,Fast,Low CPU
55,Slow,High CPU
56,Slow,Low CPU
57,Slow,Low CPU
58,Slow,Low CPU
59,Slow,Low CPU
60,Slow,Low CPU
61,Slow,High CPU
62,Fast,High CPU
63,Slow,Low CPU
64,Slow,High CPU
65,Slow,High CPU
66,Fast,Low CPU
67,Slow,Low CPU
68,Fast,High CPU
69,Fast,Low CPU
70,Fast,Low CPU
71,Fast,High CPU
72,Slow,High CPU
73,Fast,High CPU
74,Fast,Low CPU
75,Fast,High CPU
76,Fast,Low CPU
77,Fast,Low CPU
78,Fast,Low CPU
79,Slow,High CPU
80,Fast,High CPU
81,Fast,Low CPU
82,Slow,High CPU
83,Fast,Low CPU
84,Slow,High CPU
85,Fast,High CPU
86,Slow,High CPU
87,Slow,High CPU
88,Fast,High CPU
89,Fast,Low CPU
90,Slow,High CPU
91,Slow,Low CPU
92,Slow,Low CPU
93,Fast,High CPU
94,Slow,High CPU
95,Slow,High CPU
96,Fast,Low CPU
97,Slow,High CPU
98,Fast,High CPU
99,Slow,High CPU
100,Slow,Low CPU
