Simulation time (in s): 15
Number of peers in the network (n): 100
Percentage of honest slow peers (z0): 50
Percentage of honest peers with low CPU (z1): 50
Percentage of mining power of adversary-1 (zeta1): 20
Percentage of mining power of adversary-2 (zeta2): 70
Mean interarrival time between transactions (in ms) (T_tx): 10
Mean interarrival time between blocks (in ms) (I): 250.0
==============================================
ID,Slow|Fast,Low CPU|High CPU
1,Fast,Attacker 1
2,Fast,Attacker 2
3,Slow,Low CPU
4,Fast,High CPU
5,Slow,High CPU
6,Fast,High CPU
7,Fast,Low CPU
8,Slow,Low CPU
9,Fast,Low CPU
10,Fast,High CPU
11,Slow,High CPU
12,Slow,Low CPU
13,Fast,High CPU
14,Slow,Low CPU
15,Fast,Low CPU
16,Slow,Low CPU
17,Slow,High CPU
18,Slow,High CPU
19,Fast,Low CPU
20,Fast,High CPU
21,Slow,High CPU
22,Slow,High CPU
23,Fast,Low CPU
24,Fast,High CPU
25,Fast,Low CPU
26,Fast,Low CPU
27,Fast,Low CPU
28,Slow,Low CPU
29,Fast,Low CPU
30,Slow,High CPU
31,Slow,Low CPU
32,Slow,High CPU
33,Slow,High CPU
34,Slow,High CPU
35,Fast,High CPU
36,Fast,High CPU
37,Fast,High CPU
38,Slow,Low CPU
39,Slow,High CPU
40,Slow,High CPU
41,Slow,Low CPU
42,Slow,High CPU
43,Slow,High CPU
44,Fast,High CPU
45,Slow,High CPU
46,Fast,Low CPU
47,Fast,High CPU
48,Slow,High CPU
49,Slow,High CPU
50,Fast,Low CPU
51,Fast,High CPU
52,Fast,High CPU
53,Fast,High CPU
54,Slow,High CPU
55,Slow,High CPU
56,Fast,Low CPU
57,Slow,Low CPU
58,Slow,Low CPU
59,Fast,Low CPU
60,Slow,Low CPU
61,Fast,Low CPU
62,Fast,Low CPU
63,Fast,High CPU
64,Fast,High CPU
65,Slow,High CPU
66,Slow,Low CPU
67,Slow,Low CPU
68,Fast,High CPU
69,Slow,High CPU
70,Fast,High CPU
71,Slow,High CPU
72,Slow,High CPU
73,Fast,High CPU
74,Fast,Low CPU
75,Slow,Low CPU
76,Fast,Low CPU
77,Fast,Low CPU
78,Slow,High CPU
79,Fast,High CPU
80,Fast,Low CPU
81,Slow,Low CPU
82,Fast,Low CPU
83,Slow,Low CPU
84,Slow,Low CPU
85,Fast,Low CPU
86,Slow,High CPU
87,Fast,Low CPU
88,Fast,Low CPU
89,Slow,Low CPU
90,Fast,High CPU
91,Slow,High CPU
92,Slow,High CPU
93,Slow,High CPU
94,Fast,Low CPU
95,Slow,Low CPU
96,Slow,Low CPU
97,Slow,High CPU
98,Fast,High CPU
99,Slow,Low CPU
100,Slow,Low CPU
